FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
19/03/2025;"Myinvestor";TRASPASO;-125,00;"TRASPASO"
19/03/2025;"MyinvestorPensión";TRASPASO;125,00;"TRASPASO"
20/03/2025;"Myinvestor";"Vestir";-20,33;"CAMISETAS"
20/03/2025;"Bit2me";TRASPASO;-529,64;"TRASPASO"
20/03/2025;"Coinbase";TRASPASO;529,64;"TRASPASO"
21/03/2025;"Tarjeta";"Deporte";-7,50;"PÁDEL"
21/03/2025;"Tarjeta";"Comida";-7,66;"FRUTERÍA"
22/03/2025;"Tarjeta";"Comida";-99,45;"MERCADONA"
22/03/2025;"Tarjeta";"Variosvivienda";-22,15;"VARIOS VIVIENDA"
22/03/2025;"Myinvestor";"Otros gastos";-37,38;"GUITARRA ACÚSTICA"
24/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
25/03/2025;"Tarjeta";TRASPASO;-1000,00;"COMPRA BITCOINS"
25/03/2025;"Criptan";TRASPASO;1000,00;"COMPRA BITCOINS"
25/03/2025;"Myinvestor";"Otros gastos";-27,09;"CHORRADICAS GUITARRA"
25/03/2025;"Tarjeta";"Deporte";-50,00;"BONO PÁDEL"
25/03/2025;"Tarjeta";"Comida";-9,83;"MERCADONA"
25/03/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
25/03/2025;"Myinvestor";TRASPASO;1000,00;"TRASPASO"
25/03/2025;"Myinvestor";TRASPASO;-1000,00;"TRASPASO"
25/03/2025;"Criptan";TRASPASO;1000,00;"TRASPASO"
25/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
25/03/2025;"Santander";"Luz";-10,17;"CASA"
25/03/2025;"Sabadell";TRASPASO;-1131,64;"TRASPASO"
25/03/2025;"Myinvestor";TRASPASO;1131,64;"TRASPASO"
26/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
26/03/2025;"Sabadell";"Nómina";1973,17;"NÓMINA"
27/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
27/03/2025;"Myinvestor";"Vestir";-20,02;"ZAPATILLAS"
27/03/2025;"Tarjeta";TRASPASO;-1000,00;"TRASPASO"
27/03/2025;"N26";TRASPASO;1000,00;"TRASPASO"
27/03/2025;"Myinvestor";TRASPASO;-1000,00;"TRASPASO"
27/03/2025;"N26";TRASPASO;1000,00;"TRASPASO"
27/03/2025;"TradeRepublic";TRASPASO;-2000,00;"TRASPASO"
27/03/2025;"Myinvestor";TRASPASO;2000,00;"TRASPASO"
27/03/2025;"Santander";"Comunidad";-45,86;"DERRAMA PISO"
28/03/2025;"Myinvestor";TRASPASO;-2000,00;"TRASPASO"
28/03/2025;"N26";TRASPASO;2000,00;"TRASPASO"
28/03/2025;"N26";TRASPASO;-3000,00;"COMPRA ACCIONES TESLA"
28/03/2025;"N26Fondo";TRASPASO;3000,00;"COMPRA ACCIONES TESLA"
28/03/2025;"Tarjeta";"Variosvivienda";-18,56;"BATIDORA"
28/03/2025;"Tarjeta";"Otros gastos";-44,38;"MEMORIA 32GB DDR4"
28/03/2025;"N26";"Medicamentos";-80,00;"PSICÓLOGA"
28/03/2025;"Sabadell";TRASPASO;-1335,17;"TRASPASO"
28/03/2025;"N26";TRASPASO;1335,17;"TRASPASO"
28/03/2025;"Tarjeta";"Deporte";-5,00;"PADEL"
29/03/2025;"Tarjeta";"Comida";-121,43;"MERCADONA"
29/03/2025;"Tarjeta";"Ocio";-5,00;"BEBIDA"
29/03/2025;"Tarjeta";"Comida";-10,50;"EL RECHUPETE"
31/03/2025;"Tarjeta";"Deporte";-8,00;"PADEL"
31/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
31/03/2025;"Tarjeta";"Otros gastos";-249,00;"CURSO GUITARRA"
31/03/2025;"Sabadell";TRASPASO;-500,00;"TRASPASO"
31/03/2025;"N26";TRASPASO;500,00;"TRASPASO"
31/03/2025;"Sabadell";TRASPASO;-1638,00;"TRASPASO"
31/03/2025;"Tarjeta";TRASPASO;1638,00;"TRASPASO"
31/03/2025;"Myinvestor";TRASPASO;-907,24;"COMPRA ETF BITCOIN"
31/03/2025;"MyinvestorFondo";TRASPASO;907,24;"COMPRA ETF BITCOIN"
31/03/2025;"Santander";"Comunidad";-60,00;"CASA"
