id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982012_6fn7kkiki,2025-02-05,Gym Aspresso,"-74,00",movimiento,N-Santander,Deporte,,
id_1751070982012_20ycanxgx,2025-02-05,Parking Ayto,"-21,00",movimiento,N-Santander,Varioscoche,,
id_1751070982012_k4exfkfgw,2025-02-04,COMISIONES,"-5,00",movimiento,D-TradeRepublic,Otros gastos,,
id_1751070982012_gqwwae77a,2025-02-05,TRASPASO,"500,00",traspaso,,,D-Tarjeta,D-Revolut
id_1751070982012_g0fvwp5tn,2025-02-05,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_mkmiyujsr,2025-02-05,Esmorzar,"-2,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_1phugo5t2,2025-02-06,ALMUERZO,"-270,00",movimiento,D-Santander,Traspaso,,
id_1751070982012_t8wxjwr2z,2025-02-06,Esmorzar,"-3,90",movimiento,N-Efectivo,Comida,,
id_1751070982012_23myq06vf,2025-02-06,TRASPASO,"270,00",movimiento,D-Myinvestor,Traspaso,,
id_1751070982012_9fkhnqs1g,2025-02-06,TRASPASO,"70,00",traspaso,,,D-Myinvestor,D-MyinvestorPensión
id_1751070982012_qpzeqz35j,2025-02-06,TRASPASO,"400,00",traspaso,,,D-Sabadell,D-Ing
id_1751070982012_a74hs14bq,2025-02-06,TRASPASO,"300,00",traspaso,,,D-Ing,D-Naranja
id_1751070982012_7twg0i46c,2025-02-07,Lidl,"-6,67",movimiento,N-Tarjeta,Comida,,
id_1751070982012_6qdwd603y,2025-02-07,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_wosg4vg15,2025-02-07,TRASPASO,"16000,00",traspaso,,,D-Letras,D-Naranja
id_1751070982012_pf6vnfkgl,2025-02-07,COMISIONES LETRAS,"-24,00",movimiento,D-Naranja,Otros gastos,,
id_1751070982012_4npn8xhjx,2025-02-07,TRASPASO,"15000,00",traspaso,,,D-Naranja,D-Myinvestor
id_1751070982012_0dc9f2e8j,2025-02-07,TRASPASO,"50,00",traspaso,,,D-Ing,D-Naranja
id_1751070982012_8roya42dl,2025-02-07,TOSTADORA,"-14,70",movimiento,D-Ing,Variosvivienda,,
id_1751070982012_qmu6nuuhx,2025-02-07,"TEVETENS, AFLOYAN Y BESITRANS","-2,86",movimiento,D-Santander,Medicamentos,,
id_1751070982012_ydos99syy,2025-02-07,Esmorzar,"-1,60",movimiento,N-Efectivo,Comida,,
id_1751070982012_swdquxmcb,2025-02-07,PÁDEL,"-8,00",movimiento,D-Santander,Deporte,,
id_1751070982012_bweialf17,2025-02-08,TRASPASO,"500,00",traspaso,,,D-Tarjeta,D-TradeRepublic
id_1751070982012_u2rhrlj4y,2025-02-08,EL RECHUPETE,"-20,05",movimiento,D-Santander,Comida,,
id_1751070982012_pm71fxp3p,2025-02-09,TRASPASO,"20,00",traspaso,,,D-Sabadell,D-Bit2me
id_1751070982012_hxg9p4enc,2025-02-09,MANGUERA Y CARTERA,"-11,20",movimiento,D-Sabadell,Variosvivienda,,
id_1751070982012_f35t2wyhw,2025-02-09,TAXI SAB A AVE,"-33,05",movimiento,D-Santander,Ocio,,
id_1751070982012_55cbraq4e,2025-02-09,COMIDA MÁLAGA,"-37,00",movimiento,D-Santander,Ocio,,
id_1751070982012_klkgjlvji,2025-02-09,CENA MÁLAGA,"-12,50",movimiento,D-Santander,Ocio,,
id_1751070982012_p2xk1mmpl,2025-02-09,Aigua,"-1,50",movimiento,N-Efectivo,Comida,,
id_1751070982012_vvqpu7rlb,2025-02-10,Aigua,"-1,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_643gm82xc,2025-02-10,Desdejuni,"-9,55",movimiento,N-Tarjeta,Comida,,
id_1751070982012_q1q06m0od,2025-02-10,Traspaso,"40,00",traspaso,,,N-Santander,N-Efectivo
id_1751070982012_dv8oe118d,2025-02-10,Carrefour,"-0,56",movimiento,N-Tarjeta,Comida,,
id_1751070982012_bmd3wphic,2025-02-10,Bus Ronda Málaga,"-24,78",movimiento,N-Tarjeta,Ocio,,
id_1751070982012_jdri349ye,2025-02-10,Dinar Ronda,"-23,40",movimiento,N-Tarjeta,Ocio,,
